school,,address,Latitude,Longitude
리라아트고등학교,고등학교,서울특별시 중구 소파로2길 24,37.5571155,126.988191
대경상업고등학교,고등학교,서울특별시 중구 매봉18길 111,37.55669583,127.0175331
용산공업고등학교,고등학교,서울특별시 용산구 서빙고로 24,37.5243031,126.9671858
선린인터넷고등학교,고등학교,서울특별시 용산구 원효로97길 33-4,37.5427814,126.9663628
서울디지텍고등학교,고등학교,서울특별시 용산구 회나무로12길 27,37.538911,126.990534
덕수고등학교,고등학교,서울특별시 성동구 왕십리로 199,37.55526278,127.0411407
성수공업고등학교,고등학교,서울특별시 성동구 뚝섬로 365,37.540543,127.0514262
서울방송고등학교,고등학교,서울특별시 성동구 동호로5길 131,37.54777313,127.0110355
휘경공업고등학교,고등학교,서울특별시 동대문구 겸재로 21,37.5849213,127.0695589
해성국제컨벤션고등학교,고등학교,서울특별시 동대문구 전농로20길 31,37.5812848,127.0569633
정화여자상업고등학교,고등학교,서울특별시 동대문구 홍릉로15길 50,37.5857448,127.0408473
송곡관광고등학교,고등학교,서울특별시 중랑구 양원역로 67,37.6063172,127.1053983
이화여자대학교병설미디어고등학교,고등학교,서울특별시 중랑구 망우로73길 56,37.6037439,127.1049794
서울도시과학기술고등학교,고등학교,서울특별시 성북구 종암로 196,37.6074229,127.03236
동구마케팅고등학교,고등학교,서울특별시 성북구 성북로8길 71,37.5935994,127.0071027
고명경영고등학교,고등학교,서울특별시 성북구 북악산로 870,37.5975051,127.0199462
성암국제무역고등학교,고등학교,서울특별시 강북구 도봉로29길 52,37.6207354,127.024471
서울문화고등학교,고등학교,서울특별시 도봉구 마들로 598,37.6638554,127.0475357
세그루패션디자인고등학교,고등학교,서울특별시 도봉구 시루봉로 53,37.655351,127.0268289
경기기계공업고등학교,고등학교,서울특별시 노원구 공릉로 264,37.6344163,127.0742785
광운전자공업고등학교,고등학교,서울특별시 노원구 광운로1길 24,37.6208454,127.0561467
영신간호비즈니스고등학교,고등학교,서울특별시 노원구 중계로16나길 13,37.6521121,127.0828722
염광여자메디텍고등학교,고등학교,서울특별시 노원구 월계로45가길 9,37.63025824,127.0492435
인덕공업고등학교,고등학교,서울특별시 노원구 초안산로 12,37.6313747,127.0555547
동산정보산업고등학교,고등학교,서울특별시 노원구 공릉로 257,37.6301266,127.0741844
미래산업과학고등학교,고등학교,서울특별시 노원구 덕릉로82길 54,37.6590494,127.0786348
서울아이티고등학교,고등학교,서울특별시 노원구 섬밭로 299,37.6421764,127.0619553
선정관광고등학교,고등학교,서울특별시 은평구 서오릉로20길 19,37.618336,126.9087149
선일이비즈니스고등학교,고등학교,서울특별시 은평구 갈현로29길 27,37.6197497,126.9126173
예일디자인고등학교,고등학교,서울특별시 은평구 연서로 117,37.6101791,126.9151623
동명여자정보산업고등학교,고등학교,서울특별시 은평구 통일로 793,37.6146895,126.9240099
신진과학기술고등학교,고등학교,서울특별시 은평구 은평로6길 16,37.5983306,126.9184276
은평메디텍고등학교,고등학교,서울특별시 은평구 진관2로 57-57,37.6351761,126.929375
세명컴퓨터고등학교,고등학교,서울특별시 은평구 통일로92가길 33,37.6275592,126.9231578
홍익디자인고등학교,고등학교,서울특별시 마포구 성미산로 111,37.56350983,126.9191674
한세사이버보안고등학교,고등학교,서울특별시 마포구 마포대로11길 44-80,37.5517898,126.9520321
서울디자인고등학교,고등학교,서울특별시 마포구 백범로 139,37.5463299,126.9473737
서울금융고등학교,고등학교,서울특별시 양천구 가로공원로61길 19,37.5378303,126.8255403
서울영상고등학교,고등학교,서울특별시 양천구 목동로11길 46,37.5231812,126.8600333
강서공업고등학교,고등학교,서울특별시 강서구 방화대로47길 9,37.5754999,126.8160214
화곡보건경영고등학교,고등학교,서울특별시 강서구 강서로45길 70,37.5488204,126.8328267
신정여자상업고등학교,고등학교,서울특별시 강서구 등촌로13아길 20,37.5380245,126.8568925
서울항공비즈니스고등학교,고등학교,서울특별시 강서구 방화대로34길 13,37.5697071,126.8170866
영등포공업고등학교,고등학교,서울특별시 강서구 허준로5길 15,37.5692245,126.8504967
예림디자인고등학교,고등학교,서울특별시 구로구 오리로21길 2,37.4996945,126.8282053
덕일전자공업고등학교,고등학교,서울특별시 구로구 서해안로21길 5-12,37.490578,126.8371091
유한공업고등학교,고등학교,서울특별시 구로구 경인로 8,37.4878646,126.8240073
서서울생활과학고등학교,고등학교,서울특별시 구로구 오리로 1355-10,37.5032117,126.8281605
동일여자상업고등학교,고등학교,서울특별시 금천구 탑골로10길 45,37.45167193,126.9168874
한강미디어고등학교,고등학교,서울특별시 영등포구 선유로55길 22,37.5391173,126.8972396
서울공업고등학교,고등학교,서울특별시 동작구 대방동1길 46,37.50190153,126.9223834
서울여자상업고등학교,고등학교,서울특별시 관악구 관악로 85,37.4731302,126.9513293
광신정보산업고등학교,고등학교,서울특별시 관악구 광신길 141,37.4651377,126.9256312
서울관광고등학교,고등학교,서울특별시 관악구 은천로15길 25,37.4881856,126.9433831
영락유헬스고등학교,고등학교,서울특별시 관악구 청룡16길 25,37.4763905,126.9446913
서울전자고등학교,고등학교,서울특별시 서초구 과천대로 852-23,37.4693105,126.988415
서울로봇고등학교,고등학교,서울특별시 강남구 광평로20길 63,37.4807426,127.0843315
단국공업고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4953357,127.0564936
대진디자인고등학교,고등학교,서울특별시 강남구 광평로39길 93,37.4904401,127.0960046
송파공업고등학교,고등학교,서울특별시 송파구 양산로 21,37.4917279,127.1424358
일신여자상업고등학교,고등학교,서울특별시 송파구 송파대로38길 8,37.5017159,127.1135991
성덕고등학교,고등학교,서울특별시 강동구 구천면로 396,37.5495007,127.1425564
서울컨벤션고등학교,고등학교,서울특별시 강동구 동남로 964,37.5592845,127.1576771
상일미디어고등학교,고등학교,서울특별시 강동구 천호대로219길 61,37.54795369,127.1702183
서울과학고등학교,고등학교,서울특별시 종로구 혜화로 63,37.5916754,126.9982134
서울국제고등학교,고등학교,서울특별시 종로구 성균관로13길 40,37.59134,126.9959635
서울예술고등학교,고등학교,서울특별시 종로구 평창문화로 70,37.605391,126.9691915
이화여자외국어고등학교,고등학교,서울특별시 중구 통일로4길 30,37.56557705,126.9696428
대원외국어고등학교,고등학교,서울특별시 광진구 용마산로22길 26,37.563079,127.0889497
선화예술고등학교,고등학교,서울특별시 광진구 천호대로 664,37.55098151,127.087093
대일외국어고등학교,고등학교,서울특별시 성북구 서경로 116,37.61330387,127.0141757
서울외국어고등학교,고등학교,서울특별시 도봉구 덕릉로66길 22,37.6455929,127.0519514
한성과학고등학교,고등학교,서울특별시 서대문구 통일로 279-79,37.5759859,126.9527945
명덕외국어고등학교,고등학교,서울특별시 강서구 강서로47길 34-10,37.5536011,126.8347305
덕원예술고등학교,고등학교,서울특별시 강서구 강서로45길 91-44,37.5485816,126.8290111
세종과학고등학교,고등학교,서울특별시 구로구 오리로21길 79,37.4968072,126.8276182
서울공연예술고등학교,고등학교,서울특별시 구로구 오리로22나길 16-26,37.5000848,126.8322027
국립전통예술고등학교,고등학교,서울특별시 금천구 시흥대로38길 62,37.4462133,126.9064871
미림여자정보과학고등학교,고등학교,서울특별시 관악구 호암로 546,37.4665516,126.932908
국립국악고등학교,고등학교,서울특별시 강남구 개포로22길 65,37.475978,127.0516132
수도전기공업고등학교,고등학교,서울특별시 강남구 개포로 410,37.48493808,127.0644798
서울체육고등학교,고등학교,서울특별시 송파구 강동대로 232,37.5216734,127.130579
한영외국어고등학교,고등학교,서울특별시 강동구 동남로 832,37.5489092,127.1581466
경복고등학교,고등학교,서울특별시 종로구 자하문로28가길 9,37.5867302,126.9717701
대신고등학교,고등학교,서울특별시 종로구 사직로 9,37.5734256,126.9618971
경신고등학교,고등학교,서울특별시 종로구 혜화로 74,37.5914502,127.0006702
배화여자고등학교,고등학교,서울특별시 종로구 필운대로1길 34,37.57849658,126.9668658
덕성여자고등학교,고등학교,서울특별시 종로구 율곡로3길 50,37.5773697,126.9827378
상명대학교사범대학부속여자고등학교,고등학교,서울특별시 종로구 홍지문2길 20,37.6041771,126.9556929
장충고등학교,고등학교,서울특별시 중구 동호로15길 93,37.5531457,127.0065905
용산고등학교,고등학교,서울특별시 용산구 두텁바위로 60,37.5453891,126.979489
오산고등학교,고등학교,서울특별시 용산구 보광로7길 17,37.52378179,127.0008688
배문고등학교,고등학교,서울특별시 용산구 효창원로 258,37.5499978,126.9639049
보성여자고등학교,고등학교,서울특별시 용산구 신흥로3가길 66,37.5426751,126.984496
신광여자고등학교,고등학교,서울특별시 용산구 청파로 263,37.5431703,126.9699957
성심여자고등학교,고등학교,서울특별시 용산구 원효로19길 49,37.5341025,126.9542291
무학여자고등학교,고등학교,서울특별시 성동구 고산자로 197,37.55676803,127.0335995
성수고등학교,고등학교,서울특별시 성동구 서울숲길 18,37.547981,127.0387013
광남고등학교,고등학교,서울특별시 광진구 아차산로70길 17-16,37.5413411,127.101751
자양고등학교,고등학교,서울특별시 광진구 뚝섬로37길 28,37.535433,127.0728365
대원고등학교,고등학교,서울특별시 광진구 용마산로22길 26,37.563079,127.0889497
동국대학교사범대학부속여자고등학교,고등학교,서울특별시 광진구 광나루로36길 47,37.5425112,127.0867784
대원여자고등학교,고등학교,서울특별시 광진구 용마산로22길 26,37.563079,127.0889497
건국대학교사범대학부속고등학교,고등학교,서울특별시 광진구 능동로 120,37.53918331,127.0747099
휘봉고등학교,고등학교,서울특별시 동대문구 한천로 290,37.5864773,127.0688515
동국대학교사범대학부속고등학교,고등학교,서울특별시 동대문구 장안벚꽃로 201,37.57804844,127.0751336
해성여자고등학교,고등학교,서울특별시 동대문구 전농로20길 31,37.5812323,127.0569633
경희여자고등학교,고등학교,서울특별시 동대문구 경희대로 26,37.5939495,127.0548902
휘경여자고등학교,고등학교,서울특별시 동대문구 한천로 247,37.5831849,127.0673783
태릉고등학교,고등학교,서울특별시 중랑구 신내로23길 36,37.6188414,127.0849496
신현고등학교,고등학교,서울특별시 중랑구 봉화산로 174,37.6052281,127.0929502
중화고등학교,고등학교,서울특별시 중랑구 봉화산로27길 62,37.6046784,127.0832703
송곡고등학교,고등학교,서울특별시 중랑구 양원역로 50,37.6053695,127.1068868
송곡여자고등학교,고등학교,서울특별시 중랑구 양원역로 67,37.6063172,127.1053091
혜원여자고등학교,고등학교,서울특별시 중랑구 봉우재로58길 39,37.592991,127.0967019
서울대학교사범대학부설고등학교,고등학교,서울특별시 성북구 월곡로 6,37.59472375,127.0381187
석관고등학교,고등학교,서울특별시 성북구 한천로70길 30,37.610067,127.0664232
홍익대학교사범대학부속고등학교,고등학교,서울특별시 성북구 성북로14가길 23,37.5940995,127.0032562
고려대학교사범대학부속고등학교,고등학교,서울특별시 성북구 정릉로 161,37.6098005,127.001572
한성여자고등학교,고등학교,서울특별시 성북구 삼선교로16길 117,37.58306327,127.0117841
성신여자고등학교,고등학교,서울특별시 성북구 동소문로26가길 80,37.5942881,127.0224064
혜화여자고등학교,고등학교,서울특별시 강북구 인수봉로 127,37.6310519,127.0127157
삼각산고등학교,고등학교,서울특별시 강북구 삼양로19길 40,37.6160393,127.0200563
창문여자고등학교,고등학교,서울특별시 강북구 월계로 61,37.6131144,127.0362812
영훈고등학교,고등학교,서울특별시 강북구 도봉로13가길 19,37.613765,127.0278332
누원고등학교,고등학교,서울특별시 도봉구 마들로 849,37.6855142,127.0498868
효문고등학교,고등학교,서울특별시 도봉구 우이천로 432,37.6520737,127.0183236
자운고등학교,고등학교,서울특별시 도봉구 노해로69길 150,37.6592612,127.0504663
창동고등학교,고등학교,서울특별시 도봉구 노해로62길 7,37.6509764,127.0383612
정의여자고등학교,고등학교,서울특별시 도봉구 노해로49길 69,37.6529105,127.0318063
상계고등학교,고등학교,서울특별시 노원구 노해로 432,37.6525328,127.0556823
불암고등학교,고등학교,서울특별시 노원구 중계로 155,37.648924,127.0801792
노원고등학교,고등학교,서울특별시 노원구 노원로 586,37.6624531,127.0531016
월계고등학교,고등학교,서울특별시 노원구 초안산로5길 66,37.6317394,127.0486715
청원고등학교,고등학교,서울특별시 노원구 한글비석로 506,37.6660284,127.0620129
서라벌고등학교,고등학교,서울특별시 노원구 한글비석로5길 18,37.6449003,127.0758322
대진고등학교,고등학교,서울특별시 노원구 공릉로62가길 47,37.6376049,127.07504
재현고등학교,고등학교,서울특별시 노원구 덕릉로82길 64,37.6615474,127.0814504
청원여자고등학교,고등학교,서울특별시 노원구 한글비석로 506,37.6660284,127.0620129
영신여자고등학교,고등학교,서울특별시 노원구 중계로16나길 13,37.6521121,127.0828722
혜성여자고등학교,고등학교,서울특별시 노원구 노원로16길 2,37.640511,127.0736034
용화여자고등학교,고등학교,서울특별시 노원구 동일로 1461,37.6588542,127.0583806
대진여자고등학교,고등학교,서울특별시 노원구 공릉로 438,37.6464458,127.0672803
한국삼육고등학교,고등학교,서울특별시 노원구 화랑로 815,37.6431424,127.1062512
염광고등학교,고등학교,서울특별시 노원구 월계로45가길 9,37.63025824,127.0492435
상명고등학교,고등학교,서울특별시 노원구 덕릉로 553,37.6494211,127.0682567
신도고등학교,고등학교,서울특별시 은평구 통일로 961,37.6291368,126.9184892
진관고등학교,고등학교,서울특별시 은평구 진관4로 26,37.6433754,126.9244109
은평고등학교,고등학교,서울특별시 은평구 갈현로15길 51,37.6092227,126.9058482
충암고등학교,고등학교,서울특별시 은평구 가좌로5길 5,37.5850457,126.9217386
숭실고등학교,고등학교,서울특별시 은평구 은평터널로7길 6,37.593125,126.9032327
동명여자고등학교,고등학교,서울특별시 은평구 통일로 793,37.6146895,126.9240099
선일여자고등학교,고등학교,서울특별시 은평구 갈현로29길 27,37.6197497,126.9126173
예일여자고등학교,고등학교,서울특별시 은평구 연서로 117,37.6101791,126.9151623
선정고등학교,고등학교,서울특별시 은평구 서오릉로20길 19,37.618336,126.9087107
인창고등학교,고등학교,서울특별시 서대문구 경기대로 65,37.5651781,126.9639075
한성고등학교,고등학교,서울특별시 서대문구 북아현로1길 24,37.55909581,126.9544615
중앙여자고등학교,고등학교,서울특별시 서대문구 북아현로11가길 7,37.5628641,126.9531684
명지고등학교,고등학교,서울특별시 서대문구 명지2길 56,37.5848709,126.9270773
광성고등학교,고등학교,서울특별시 마포구 신수로8길 20,37.5486226,126.9363687
경성고등학교,고등학교,서울특별시 마포구 성미산로 111,37.56350983,126.9191674
홍익대학교사범대학부속여자고등학교,고등학교,서울특별시 마포구 성미산로 51,37.5601072,126.9134939
금옥여자고등학교,고등학교,서울특별시 양천구 신정로 213,37.5106219,126.8442611
신목고등학교,고등학교,서울특별시 양천구 안양천로 739,37.5128286,126.8734611
신서고등학교,고등학교,서울특별시 양천구 은행정로 42,37.5237867,126.860093
강서고등학교,고등학교,서울특별시 양천구 목동중앙남로 27,37.5364895,126.8663661
광영고등학교,고등학교,서울특별시 양천구 남부순환로30길 17,37.53779,126.8241065
양천고등학교,고등학교,서울특별시 양천구 신정로14길 13,37.5088072,126.8459167
진명여자고등학교,고등학교,서울특별시 양천구 목동로 170,37.523798,126.8661298
목동고등학교,고등학교,서울특별시 양천구 목동동로2길 68,37.5090728,126.8607466
광영여자고등학교,고등학교,서울특별시 양천구 남부순환로30길 17,37.53779,126.8241074
백암고등학교,고등학교,서울특별시 양천구 신정로13길 16,37.5117371,126.8440539
공항고등학교,고등학교,서울특별시 강서구 개화동로 495,37.56929277,126.8063246
수명고등학교,고등학교,서울특별시 강서구 수명로2길 15,37.5497013,126.8242688
세현고등학교,고등학교,서울특별시 강서구 허준로 227,37.5604161,126.8637798
대일고등학교,고등학교,서울특별시 강서구 등촌로 105,37.5394531,126.8632842
마포고등학교,고등학교,서울특별시 강서구 화곡로 403,37.55998993,126.8531328
화곡고등학교,고등학교,서울특별시 강서구 강서로45길 69,37.5480355,126.831698
명덕고등학교,고등학교,서울특별시 강서구 강서로47길 34-10,37.5536011,126.8347305
동양고등학교,고등학교,서울특별시 강서구 허준로 50,37.5687587,126.8470842
영일고등학교,고등학교,서울특별시 강서구 등촌로51가길 26,37.5473671,126.8618151
경복여자고등학교,고등학교,서울특별시 강서구 화곡로63길 40,37.55782075,126.8505974
덕원여자고등학교,고등학교,서울특별시 강서구 강서로45길 91-44,37.5485816,126.8290111
명덕여자고등학교,고등학교,서울특별시 강서구 강서로47길 34-10,37.5536011,126.8347305
한서고등학교,고등학교,서울특별시 강서구 양천로11길 47,37.5746018,126.8081599
한광고등학교,고등학교,서울특별시 강서구 등촌로13길 110,37.5388666,126.8578799
경인고등학교,고등학교,서울특별시 구로구 경인로46길 31,37.4964171,126.8657015
구로고등학교,고등학교,서울특별시 구로구 가마산로27길 45,37.4984981,126.8896924
구일고등학교,고등학교,서울특별시 구로구 구일로 90-51,37.4941106,126.873852
신도림고등학교,고등학교,서울특별시 구로구 경인로67길 159,37.5136678,126.8820338
오류고등학교,고등학교,서울특별시 구로구 오리로21길 2,37.4996945,126.8282053
독산고등학교,고등학교,서울특별시 금천구 문성로 64,37.4760267,126.9108536
문일고등학교,고등학교,서울특별시 금천구 시흥대로47길 45,37.4493523,126.8984231
동일여자고등학교,고등학교,서울특별시 금천구 탑골로10길 45,37.45167193,126.9168874
여의도고등학교,고등학교,서울특별시 영등포구 국제금융로7길 37,37.5252751,126.9336842
영등포여자고등학교,고등학교,서울특별시 영등포구 영등포로62길 13,37.5153771,126.9152716
여의도여자고등학교,고등학교,서울특별시 영등포구 국제금융로7가길 13,37.5229622,126.9349823
관악고등학교,고등학교,서울특별시 영등포구 영등포로6길 26,37.5214463,126.8829505
영신고등학교,고등학교,서울특별시 영등포구 대방천로14길 18,37.4977349,126.9098123
선유고등학교,고등학교,서울특별시 영등포구 선유로 227,37.5339205,126.8948722
영등포고등학교,고등학교,서울특별시 동작구 등용로8길 5,37.50905578,126.9347349
수도여자고등학교,고등학교,서울특별시 동작구 여의대방로10길 73,37.4931834,126.9155129
동작고등학교,고등학교,서울특별시 동작구 솔밭로 51,37.48260068,126.965086
성남고등학교,고등학교,서울특별시 동작구 대방동길 74,37.50528121,126.9266132
숭의여자고등학교,고등학교,서울특별시 동작구 여의대방로36길 79,37.5073276,126.9292344
구암고등학교,고등학교,서울특별시 관악구 성현로 57,37.4924558,126.9502242
신림고등학교,고등학교,서울특별시 관악구 문성로 119,37.4786338,126.9173643
인헌고등학교,고등학교,서울특별시 관악구 인헌9길 74,37.4715662,126.9702013
삼성고등학교,고등학교,서울특별시 관악구 신림로 41,37.4691633,126.9436438
남강고등학교,고등학교,서울특별시 관악구 난곡로34길 80,37.4719974,126.9247473
성보고등학교,고등학교,서울특별시 관악구 남부순환로156길 39,37.4801177,126.9207947
서울문영여자고등학교,고등학교,서울특별시 관악구 관악로 85,37.4731302,126.9513293
서울미술고등학교,고등학교,서울특별시 관악구 남부순환로247길 26,37.47676,126.9671283
광신고등학교,고등학교,서울특별시 관악구 광신길 141,37.4651377,126.9256312
영락고등학교,고등학교,서울특별시 관악구 청룡16길 25,37.4763092,126.9446913
서울고등학교,고등학교,서울특별시 서초구 효령로 197,37.4842697,127.005399
반포고등학교,고등학교,서울특별시 서초구 고무래로 71,37.5022177,127.016153
양재고등학교,고등학교,서울특별시 서초구 남부순환로346길 9,37.4827746,127.0324921
서초고등학교,고등학교,서울특별시 서초구 반포대로27길 29,37.4893168,127.0057059
언남고등학교,고등학교,서울특별시 서초구 동산로13길 35,37.4725868,127.042718
상문고등학교,고등학교,서울특별시 서초구 명달로 45,37.4794948,127.0045069
서문여자고등학교,고등학교,서울특별시 서초구 동광로12길 84,37.4885743,126.985083
동덕여자고등학교,고등학교,서울특별시 서초구 효령로2길 123-5,37.4759144,126.9927567
경기고등학교,고등학교,서울특별시 강남구 영동대로 643,37.5161265,127.05525
경기여자고등학교,고등학교,서울특별시 강남구 삼성로 29,37.486824,127.0660933
개포고등학교,고등학교,서울특별시 강남구 개포로 402,37.4846776,127.0596014
압구정고등학교,고등학교,서울특별시 강남구 압구정로39길 20,37.5311729,127.0328538
청담고등학교,고등학교,서울특별시 강남구 압구정로 419,37.5278836,127.0435289
영동고등학교,고등학교,서울특별시 강남구 선릉로 742,37.5205869,127.0426288
중산고등학교,고등학교,서울특별시 강남구 일원로14길 22,37.485653,127.0808471
단국대학교사범대학부속고등학교,고등학교,서울특별시 강남구 도곡로64길 21,37.4953357,127.0564936
숙명여자고등학교,고등학교,서울특별시 강남구 남부순환로 2807,37.4907295,127.0533366
은광여자고등학교,고등학교,서울특별시 강남구 남부순환로359길 36,37.4879414,127.0359252
진선여자고등학교,고등학교,서울특별시 강남구 선릉로85길 27,37.501754,127.0476387
서울세종고등학교,고등학교,서울특별시 강남구 광평로51길 36,37.4903266,127.1026224
중앙대학교사범대학부속고등학교,고등학교,서울특별시 강남구 선릉로 207,37.4919416,127.0521317
잠일고등학교,고등학교,서울특별시 송파구 백제고분로 21,37.5140261,127.0814053
잠실고등학교,고등학교,서울특별시 송파구 올림픽로33길 71,37.52293007,127.1065132
창덕여자고등학교,고등학교,서울특별시 송파구 양재대로 1240,37.5163989,127.1399737
방산고등학교,고등학교,서울특별시 송파구 오금로27길 18,37.508227,127.1204817
문정고등학교,고등학교,서울특별시 송파구 송이로34길 62,37.4847089,127.1267288
가락고등학교,고등학교,서울특별시 송파구 송이로 42,37.5011923,127.1165911
오금고등학교,고등학교,서울특별시 송파구 중대로 247,37.504487,127.1292797
잠신고등학교,고등학교,서울특별시 송파구 잠실로 24,37.5150759,127.0889878
